part_query,color,x,y,z,rx,ry,rz
2441,red,0,0,0,-90,0,0
3623,white,30,0,0,-90,-3.5083546492674384e-15,90
3623,white,-30,0,0,-90,-3.5083546492674384e-15,90
3023,white,0,20,1.2246467991473533e-15,-90.00000000000001,0,180
3022,red,0,-70,-8.000000000000004,-90.00000000000001,0,180
3794a,red,20,20,8.000000000000002,-90.00000000000001,0,180
3794a,red,-20,20,8.000000000000002,-90.00000000000001,0,180
3794a,white,0,40,8.000000000000002,-90.00000000000001,0,180
3794a,white,0,60,8.000000000000004,-90.00000000000001,0,180
4865a,red,30,-10.000000000000002,24,-90,-3.5083546492674384e-15,90
4865a,red,-30,-10.000000000000002,24,-90,3.5083546492674384e-15,-90
3023,black,0,50,16.000000000000004,-90,3.5083546492674384e-15,-90
u8200,red,0,-90,-5.5109105961630896e-15,-90,0,0
4595,black,0,50,32,-90.00000000000001,0,180
2412a,yellow,-18,50,22.000000000000004,0,3.5083546492674384e-15,-90
2412a,yellow,18,50,22.000000000000004,180,3.5083546492674384e-15,-90
3005,red,-20,19.999999999999996,32,-90,3.5083546492674384e-15,-90
3005,red,20,19.999999999999996,32,-90,3.5083546492674384e-15,-90
3298p56,red,0,-60,23.999999999999996,-90,0,0
3829c01,white,0,-40,7.999999999999997,-90,0,0
3021,red,0,29.999999999999996,40,-90,0,0
3070b,red,0,60,40.00000000000001,-90,0,0
4276b,red,0,29.999999999999996,48,-90,-3.5083546492674384e-15,90
2452,red,-0.073,75.321,57.464000000000006,-59.99927221917263,0,0
3040b,white,0,19.999999999999996,72,-90.00000000000001,0,180
2431,red,-0.065,71.321,64.392,-120.00072778082739,0,180
4624,white,30,-50,-5.000000000000003,-90,-3.5083546492674384e-15,90
3641,main color,30,-50,-5.000000000000003,-90,-3.5083546492674384e-15,90
3641,main color,30,50,-4.999999999999997,-90,-3.5083546492674384e-15,90
4624,white,30,50,-4.999999999999997,-90,-3.5083546492674384e-15,90
3641,main color,-30,-50,-5.000000000000003,-90,3.5083546492674384e-15,-90
4624,white,-30,-50,-5.000000000000003,-90,3.5083546492674384e-15,-90
3641,main color,-30,50,-4.999999999999997,-90,3.5083546492674384e-15,-90
4624,white,-30,50,-4.999999999999997,-90,3.5083546492674384e-15,-90
1477,trans light blue,0,-2.000000000000001,13,-90,0,0
