part,color,x,y,z
3005.dat,black,-70,0,-70
3005.dat,white,-50,0,-70
3005.dat,yellow,-30,0,-70
3005.dat,white,-10,0,-70
3622.dat,red,30,0,-70
3005.dat,white,70,0,-70
3005.dat,white,-70,0,-50
3004.dat,black,-40,0,-50
3005.dat,white,-10,0,-50
3005.dat,yellow,10,0,-50
3005.dat,green,30,0,-50
3005.dat,red,50,0,-50
3005.dat,black,70,0,-50
3005.dat,black,-70,0,-30
3005.dat,green,-50,0,-30
3005.dat,white,-30,0,-30
3005.dat,black,-10,0,-30
3004.dat,green,20,0,-30
3005.dat,red,50,0,-30
3005.dat,white,70,0,-30
3005.dat,black,-70,0,-10
3005.dat,white,-50,0,-10
3005.dat,red,-30,0,-10
3005.dat,blue,-10,0,-10
3005.dat,black,10,0,-10
3005.dat,green,30,0,-10
3005.dat,blue,50,0,-10
3005.dat,black,70,0,-10
3005.dat,white,-70,0,10
3005.dat,green,-50,0,10
3005.dat,yellow,-30,0,10
3005.dat,blue,-10,0,10
3005.dat,red,10,0,10
3005.dat,green,30,0,10
3005.dat,red,50,0,10
3005.dat,white,70,0,10
3005.dat,green,-70,0,30
3004.dat,blue,-40,0,30
3004.dat,red,0,0,30
3005.dat,green,30,0,30
3005.dat,black,50,0,30
3005.dat,yellow,70,0,30
3005.dat,white,-70,0,50
3005.dat,blue,-50,0,50
3005.dat,green,-30,0,50
3005.dat,red,-10,0,50
3005.dat,white,10,0,50
3004.dat,black,40,0,50
3005.dat,yellow,70,0,50
3005.dat,yellow,-70,0,70
3005.dat,green,-50,0,70
3004.dat,black,-20,0,70
3005.dat,blue,10,0,70
3005.dat,yellow,30,0,70
3005.dat,red,50,0,70
3005.dat,white,70,0,70
