part_query,color,x,y,z,rx,ry,rz
18860,blue,-310,-310,0,0,0,0
18860,green,-290,-310,0,0,0,0
18860,blue,-270,-310,0,0,0,0
18860,green,-250,-310,0,0,0,0
18860,white,-230,-310,0,0,0,0
18860,green,-210,-310,0,0,0,0
18860,white,-190,-310,0,0,0,0
18860,blue,-170,-310,0,0,0,0
15561,white,-150,-300,0,0,0,0
18860,green,-130,-310,0,0,0,0
18863,blue,-100,-310,0,0,0,0
18860,black,-70,-310,0,0,0,0
18860,red,-50,-310,0,0,0,0
18860,blue,-30,-310,0,0,0,0
18860,black,-10,-310,0,0,0,0
18860,red,10,-310,0,0,0,0
18860,yellow,30,-310,0,0,0,0
18860,white,50,-310,0,0,0,0
18860,black,70,-310,0,0,0,0
18860,white,90,-310,0,0,0,0
18860,blue,110,-310,0,0,0,0
18863,white,140,-310,0,0,0,0
18860,green,170,-310,0,0,0,0
18860,blue,190,-310,0,0,0,0
18860,yellow,210,-310,0,0,0,0
15561,black,230,-300,0,0,0,0
18863,white,260,-310,0,0,0,0
15561,black,290,-300,0,0,0,0
18860,red,310,-310,0,0,0,0
18860,yellow,-310,-290,0,0,0,0
18860,blue,-290,-290,0,0,0,0
18860,red,-270,-290,0,0,0,0
18860,black,-250,-290,0,0,0,0
18863,yellow,-220,-290,0,0,0,0
18860,black,-190,-290,0,0,0,0
18860,white,-170,-290,0,0,0,0
18860,yellow,-130,-290,0,0,0,0
18863,black,-100,-290,0,0,0,0
15561,red,-70,-280,0,0,0,0
1927,yellow,-50,-260,0,0,0,0
18860,yellow,-30,-290,0,0,0,0
18860,white,-10,-290,0,0,0,0
15561,black,10,-280,0,0,0,0
18860,red,30,-290,0,0,0,0
18860,blue,50,-290,0,0,0,0
18863,red,80,-290,0,0,0,0
18860,green,110,-290,0,0,0,0
18863,red,140,-290,0,0,0,0
18860,yellow,170,-290,0,0,0,0
18860,green,190,-290,0,0,0,0
18860,blue,210,-290,0,0,0,0
18860,black,250,-290,0,0,0,0
18860,green,270,-290,0,0,0,0
18860,white,310,-290,0,0,0,0
18860,red,-310,-270,0,0,0,0
18860,yellow,-290,-270,0,0,0,0
18863,blue,-260,-270,0,0,0,0
18860,black,-230,-270,0,0,0,0
18860,green,-210,-270,0,0,0,0
18863,red,-180,-270,0,0,0,0
18860,blue,-150,-270,0,0,0,0
18860,black,-130,-270,0,0,0,0
18860,white,-110,-270,0,0,0,0
18860,green,-90,-270,0,0,0,0
18860,red,-30,-270,0,0,0,0
18860,green,-10,-270,0,0,0,0
16424,white,40,-260,0,0,0,0
18860,white,70,-270,0,0,0,0
18860,blue,90,-270,0,0,0,0
18860,white,110,-270,0,0,0,0
18860,blue,130,-270,0,0,0,0
18860,yellow,150,-270,0,0,0,0
15561,white,170,-260,0,0,0,0
15561,red,190,-260,0,0,0,0
18860,black,210,-270,0,0,0,0
18860,green,230,-270,0,0,0,0
18860,yellow,250,-270,0,0,0,0
18860,red,270,-270,0,0,0,0
18863,yellow,300,-270,0,0,0,0
18860,yellow,-310,-250,0,0,0,0
18860,white,-290,-250,0,0,0,0
18860,black,-270,-250,0,0,0,0
18860,red,-250,-250,0,0,0,0
15561,green,-230,-240,0,0,0,0
18860,white,-210,-250,0,0,0,0
18860,green,-190,-250,0,0,0,0
18860,blue,-170,-250,0,0,0,0
15561,red,-150,-240,0,0,0,0
18860,blue,-130,-250,0,0,0,0
18860,green,-110,-250,0,0,0,0
18863,blue,-80,-250,0,0,0,0
15561,green,-30,-240,0,0,0,0
15561,yellow,-10,-240,0,0,0,0
18860,white,10,-250,0,0,0,0
15561,yellow,70,-240,0,0,0,0
18860,red,90,-250,0,0,0,0
18860,black,110,-250,0,0,0,0
18860,white,130,-250,0,0,0,0
15561,black,150,-240,0,0,0,0
18860,yellow,210,-250,0,0,0,0
18860,white,230,-250,0,0,0,0
18860,black,250,-250,0,0,0,0
18860,green,270,-250,0,0,0,0
18863,white,300,-250,0,0,0,0
18860,blue,-310,-230,0,0,0,0
18860,black,-290,-230,0,0,0,0
18860,red,-270,-230,0,0,0,0
18860,blue,-250,-230,0,0,0,0
18860,black,-210,-230,0,0,0,0
18860,red,-190,-230,0,0,0,0
18860,green,-170,-230,0,0,0,0
18863,red,-120,-230,0,0,0,0
18860,yellow,-90,-230,0,0,0,0
15561,black,-70,-220,0,0,0,0
18860,blue,10,-230,0,0,0,0
16424,yellow,40,-220,0,0,0,0
18860,white,90,-230,0,0,0,0
15561,blue,110,-220,0,0,0,0
18860,yellow,130,-230,0,0,0,0
15561,green,170,-220,0,0,0,0
18860,blue,190,-230,0,0,0,0
18860,green,210,-230,0,0,0,0
18860,black,230,-230,0,0,0,0
18860,green,250,-230,0,0,0,0
18860,red,270,-230,0,0,0,0
18860,white,290,-230,0,0,0,0
18860,green,310,-230,0,0,0,0
18860,white,-310,-210,0,0,0,0
18860,yellow,-290,-210,0,0,0,0
18860,blue,-270,-210,0,0,0,0
18863,yellow,-240,-210,0,0,0,0
15561,white,-210,-200,0,0,0,0
18860,blue,-190,-210,0,0,0,0
18860,white,-170,-210,0,0,0,0
18860,blue,-150,-210,0,0,0,0
18860,white,-130,-210,0,0,0,0
18860,green,-110,-210,0,0,0,0
15561,blue,-90,-200,0,0,0,0
15561,yellow,-50,-200,0,0,0,0
18860,black,-30,-210,0,0,0,0
18860,blue,-10,-210,0,0,0,0
18860,green,10,-210,0,0,0,0
15561,red,70,-200,0,0,0,0
18860,black,90,-210,0,0,0,0
18860,red,130,-210,0,0,0,0
18860,blue,150,-210,0,0,0,0
18860,yellow,190,-210,0,0,0,0
16424,white,220,-200,0,0,0,0
18860,yellow,250,-210,0,0,0,0
18863,green,280,-210,0,0,0,0
18860,blue,310,-210,0,0,0,0
18860,black,-310,-190,0,0,0,0
15561,red,-290,-180,0,0,0,0
18860,yellow,-270,-190,0,0,0,0
18860,red,-250,-190,0,0,0,0
18860,green,-230,-190,0,0,0,0
18860,black,-190,-190,0,0,0,0
18860,blue,-170,-190,0,0,0,0
18860,black,-150,-190,0,0,0,0
18863,yellow,-120,-190,0,0,0,0
18860,blue,-70,-190,0,0,0,0
18759,white,-10,-190,0,0,0,0
18860,yellow,30,-190,0,0,0,0
18860,red,50,-190,0,0,0,0
18860,green,90,-190,0,0,0,0
18860,red,110,-190,0,0,0,0
18860,white,130,-190,0,0,0,0
18860,yellow,150,-190,0,0,0,0
18860,white,170,-190,0,0,0,0
18860,black,190,-190,0,0,0,0
18860,blue,250,-190,0,0,0,0
18860,white,270,-190,0,0,0,0
18860,blue,290,-190,0,0,0,0
18860,black,310,-190,0,0,0,0
18860,red,-310,-170,0,0,0,0
18860,green,-270,-170,0,0,0,0
18860,blue,-250,-170,0,0,0,0
18860,black,-230,-170,0,0,0,0
18860,blue,-210,-170,0,0,0,0
18860,red,-190,-170,0,0,0,0
18860,green,-170,-170,0,0,0,0
14222,yellow,-150,-150,0,0,0,0
18860,black,-130,-170,0,0,0,0
18860,blue,-110,-170,0,0,0,0
18860,white,-90,-170,0,0,0,0
18860,red,-70,-170,0,0,0,0
18860,black,-50,-170,0,0,0,0
18860,blue,-30,-170,0,0,0,0
15561,green,-10,-160,0,0,0,0
18860,red,10,-170,0,0,0,0
18860,green,30,-170,0,0,0,0
18860,black,50,-170,0,0,0,0
15561,green,70,-160,0,0,0,0
18863,white,100,-170,0,0,0,0
15561,blue,130,-160,0,0,0,0
18860,green,150,-170,0,0,0,0
18860,blue,170,-170,0,0,0,0
18860,white,190,-170,0,0,0,0
18860,yellow,210,-170,0,0,0,0
18860,blue,230,-170,0,0,0,0
18860,red,250,-170,0,0,0,0
18860,blue,270,-170,0,0,0,0
18860,black,290,-170,0,0,0,0
18860,red,310,-170,0,0,0,0
18860,blue,-310,-150,0,0,0,0
18860,black,-290,-150,0,0,0,0
18860,blue,-270,-150,0,0,0,0
18860,green,-250,-150,0,0,0,0
18860,white,-230,-150,0,0,0,0
18860,red,-210,-150,0,0,0,0
18863,yellow,-180,-150,0,0,0,0
18860,red,-130,-150,0,0,0,0
18860,white,-110,-150,0,0,0,0
18860,yellow,-90,-150,0,0,0,0
18863,blue,-60,-150,0,0,0,0
18860,yellow,-30,-150,0,0,0,0
18863,black,20,-150,0,0,0,0
18860,blue,50,-150,0,0,0,0
18860,red,90,-150,0,0,0,0
15561,green,110,-140,0,0,0,0
18860,white,150,-150,0,0,0,0
18860,green,170,-150,0,0,0,0
18860,red,190,-150,0,0,0,0
18860,black,210,-150,0,0,0,0
18860,yellow,230,-150,0,0,0,0
18860,white,250,-150,0,0,0,0
18860,yellow,270,-150,0,0,0,0
18863,blue,300,-150,0,0,0,0
18860,green,-310,-130,0,0,0,0
18860,white,-290,-130,0,0,0,0
18860,black,-270,-130,0,0,0,0
18860,blue,-250,-130,0,0,0,0
18860,red,-230,-130,0,0,0,0
18860,yellow,-210,-130,0,0,0,0
18860,blue,-190,-130,0,0,0,0
18860,white,-170,-130,0,0,0,0
18860,yellow,-130,-130,0,0,0,0
15561,green,-110,-120,0,0,0,0
18863,black,-80,-130,0,0,0,0
18860,green,-50,-130,0,0,0,0
18860,blue,-30,-130,0,0,0,0
15561,red,-10,-120,0,0,0,0
18863,green,20,-130,0,0,0,0
18860,red,50,-130,0,0,0,0
18863,white,80,-130,0,0,0,0
18860,green,130,-130,0,0,0,0
18860,blue,150,-130,0,0,0,0
18860,black,170,-130,0,0,0,0
18860,white,190,-130,0,0,0,0
18860,red,210,-130,0,0,0,0
18759,blue,250,-130,0,0,0,0
18860,white,290,-130,0,0,0,0
18860,yellow,310,-130,0,0,0,0
18860,red,-310,-110,0,0,0,0
15561,yellow,-290,-100,0,0,0,0
18860,red,-270,-110,0,0,0,0
15561,yellow,-250,-100,0,0,0,0
18860,blue,-230,-110,0,0,0,0
18860,black,-210,-110,0,0,0,0
18860,green,-190,-110,0,0,0,0
18860,yellow,-170,-110,0,0,0,0
15561,green,-150,-100,0,0,0,0
18860,red,-130,-110,0,0,0,0
18860,white,-90,-110,0,0,0,0
18860,black,-70,-110,0,0,0,0
18860,yellow,-50,-110,0,0,0,0
18860,red,-30,-110,0,0,0,0
18860,black,10,-110,0,0,0,0
18860,green,30,-110,0,0,0,0
18860,yellow,50,-110,0,0,0,0
18860,red,70,-110,0,0,0,0
18860,yellow,90,-110,0,0,0,0
15561,red,110,-100,0,0,0,0
