part_query,color,x,y,z,rx,ry,rz
19001p01,white,-240,-200,0,0,0,0
15624,white,-80,-240,0,0,0,0
13269,white,60,-280,0,0,0,0
13269,white,180,-280,0,0,0,0
11212,white,270,-290,0,0,0,0
13731,white,310,-240,0,0,0,0
18759,black,270,-250,0,0,0,0
11212,white,30,-210,0,0,0,0
11153,white,100,-230,0,0,0,0
18863,black,160,-230,0,0,0,0
10199,blue,220,-160,0,0,0,0
1927,blue,270,-200,0,0,0,0
13731,black,290,-160,0,0,0,0
18863,white,80,-210,0,0,0,0
18860,black,110,-210,0,0,0,0
2156,blue,150,-140,0,0,0,0
18860,black,70,-190,0,0,0,0
11290,blue,100,-120,0,0,0,0
18863,white,20,-170,0,0,0,0
18860,black,50,-170,0,0,0,0
13731,blue,70,-100,0,0,0,0
11212,white,-130,-130,0,0,0,0
18870,white,-50,-150,0,0,0,0
18860,black,10,-150,0,0,0,0
11290,blue,40,-80,0,0,0,0
14222,blue,270,-130,0,0,0,0
13731,white,310,-80,0,0,0,0
18759,white,-70,-130,0,0,0,0
18860,black,-30,-130,0,0,0,0
11290,blue,0,-60,0,0,0,0
18860,white,-90,-110,0,0,0,0
18860,black,-70,-110,0,0,0,0
11290,blue,-40,-40,0,0,0,0
16424,white,-140,-80,0,0,0,0
18860,white,-110,-90,0,0,0,0
18860,black,-90,-90,0,0,0,0
13731,blue,-70,-20,0,0,0,0
18860,black,270,-90,0,0,0,0
2156,white,-290,0,0,0,0,0
15588,white,-220,-40,0,0,0,0
14222,white,-170,-50,0,0,0,0
18860,black,-110,-70,0,0,0,0
13731,blue,-90,0,0,0,0,0
18759,blue,210,-70,0,0,0,0
18860,black,250,-70,0,0,0,0
15561,green,270,-60,0,0,0,0
15561,black,290,-60,0,0,0,0
18860,white,-150,-50,0,0,0,0
18860,black,-130,-50,0,0,0,0
13731,blue,-110,20,0,0,0,0
11153,blue,160,-50,0,0,0,0
18860,black,210,-50,0,0,0,0
16424,green,240,-40,0,0,0,0
18860,black,-150,-30,0,0,0,0
13731,blue,-130,40,0,0,0,0
11344,blue,100,-10,0,0,0,0
18863,blue,140,-30,0,0,0,0
18860,black,170,-30,0,0,0,0
11344,green,200,-10,0,0,0,0
18860,black,270,-30,0,0,0,0
13731,white,290,40,0,0,0,0
18860,black,-170,-10,0,0,0,0
1927,blue,-150,20,0,0,0,0
1927,blue,70,20,0,0,0,0
18860,blue,130,-10,0,0,0,0
18860,black,150,-10,0,0,0,0
14222,dark gray,170,10,0,0,0,0
18860,green,230,-10,0,0,0,0
18860,black,250,-10,0,0,0,0
13731,white,270,60,0,0,0,0
16424,white,-240,20,0,0,0,0
18860,white,-210,10,0,0,0,0
18860,black,-190,10,0,0,0,0
1927,blue,-170,40,0,0,0,0
17514,blue,40,40,0,0,0,0
18860,black,130,10,0,0,0,0
14222,dark gray,150,30,0,0,0,0
18860,black,230,10,0,0,0,0
13731,white,250,80,0,0,0,0
13731,white,310,80,0,0,0,0
18860,black,-210,30,0,0,0,0
1927,blue,-190,60,0,0,0,0
17514,blue,0,60,0,0,0,0
18860,blue,90,30,0,0,0,0
18860,black,110,30,0,0,0,0
14222,dark gray,130,50,0,0,0,0
18860,green,190,30,0,0,0,0
18860,black,210,30,0,0,0,0
13731,white,230,100,0,0,0,0
18860,white,-250,50,0,0,0,0
18860,black,-230,50,0,0,0,0
1927,blue,-210,80,0,0,0,0
17514,blue,-40,80,0,0,0,0
18860,black,90,50,0,0,0,0
14222,green,110,70,0,0,0,0
18860,black,170,50,0,0,0,0
11290,white,200,120,0,0,0,0
18860,black,-250,70,0,0,0,0
14222,blue,-230,90,0,0,0,0
14222,blue,-150,90,0,0,0,0
14222,blue,-70,90,0,0,0,0
18860,black,70,70,0,0,0,0
14222,green,90,90,0,0,0,0
18860,black,150,70,0,0,0,0
13731,white,170,140,0,0,0,0
14222,white,-310,110,0,0,0,0
18860,white,-290,90,0,0,0,0
18860,black,-270,90,0,0,0,0
15561,blue,-250,100,0,0,0,0
15561,blue,-170,100,0,0,0,0
15561,blue,-90,100,0,0,0,0
18860,blue,30,90,0,0,0,0
18860,black,50,90,0,0,0,0
15561,green,70,100,0,0,0,0
18860,black,130,90,0,0,0,0
13731,white,150,160,0,0,0,0
15561,black,-290,120,0,0,0,0
18860,blue,-270,110,0,0,0,0
18860,blue,-190,110,0,0,0,0
18860,blue,-110,110,0,0,0,0
18863,blue,0,110,0,0,0,0
18860,black,30,110,0,0,0,0
15561,green,50,120,0,0,0,0
18860,black,110,110,0,0,0,0
13731,white,130,180,0,0,0,0
15561,green,-270,140,0,0,0,0
18870,black,-210,130,0,0,0,0
18870,black,-110,130,0,0,0,0
11153,black,-20,130,0,0,0,0
15561,green,30,140,0,0,0,0
18860,black,70,130,0,0,0,0
11290,white,100,200,0,0,0,0
13731,white,290,200,0,0,0,0
13731,black,-310,220,0,0,0,0
1927,green,-290,180,0,0,0,0
18870,green,-210,150,0,0,0,0
13269,green,-100,180,0,0,0,0
16424,green,-20,160,0,0,0,0
15561,black,10,160,0,0,0,0
18860,black,50,150,0,0,0,0
13731,white,70,220,0,0,0,0
13731,white,270,220,0,0,0,0
18860,yellow,-270,170,0,0,0,0
18860,dark gray,-250,170,0,0,0,0
18646,green,-210,220,0,0,0,0
1927,green,-170,200,0,0,0,0
18860,black,30,170,0,0,0,0
13731,white,50,240,0,0,0,0
13731,white,250,240,0,0,0,0
13731,white,310,240,0,0,0,0
18860,dark gray,-270,190,0,0,0,0
1927,green,-250,220,0,0,0,0
18860,green,-30,190,0,0,0,0
18860,black,-10,190,0,0,0,0
18980,white,20,240,0,0,0,0
1927,white,230,220,0,0,0,0
1927,green,-270,240,0,0,0,0
18860,black,-30,210,0,0,0,0
1927,white,-10,240,0,0,0,0
18980,white,200,260,0,0,0,0
14222,green,-290,250,0,0,0,0
11344,green,-140,250,0,0,0,0
16424,green,-100,240,0,0,0,0
18860,green,-70,230,0,0,0,0
18860,black,-50,230,0,0,0,0
1927,white,-30,260,0,0,0,0
1927,white,170,260,0,0,0,0
15561,green,-170,260,0,0,0,0
18860,black,-70,250,0,0,0,0
1927,white,-50,280,0,0,0,0
1927,white,150,280,0,0,0,0
18860,green,-250,270,0,0,0,0
18860,black,-110,270,0,0,0,0
11344,white,-80,290,0,0,0,0
14222,white,130,290,0,0,0,0
14222,white,230,290,0,0,0,0
18870,black,-250,290,0,0,0,0
11153,black,-160,290,0,0,0,0
15561,white,-110,300,0,0,0,0
15561,white,-10,300,0,0,0,0
16424,white,100,300,0,0,0,0
15561,white,290,300,0,0,0,0
18870,white,-270,310,0,0,0,0
18870,white,-170,310,0,0,0,0
18860,white,-30,310,0,0,0,0
18863,white,20,310,0,0,0,0
18860,white,70,310,0,0,0,0
18860,white,170,310,0,0,0,0
18860,white,270,310,0,0,0,0
