part_query,color,x,y,z,rx,ry,rz
15625,light gray,-270,-240,0,0,0,0
13269,light gray,-160,-280,0,0,0,0
11212,light gray,-70,-290,0,0,0,0
11212,light gray,-10,-290,0,0,0,0
11212,light gray,50,-290,0,0,0,0
18897,light gray,140,-260,0,0,0,0
15625,light gray,250,-240,0,0,0,0
13731,light gray,310,-240,0,0,0,0
18863,light gray,-80,-250,0,0,0,0
18870,black,-10,-250,0,0,0,0
18863,light gray,60,-250,0,0,0,0
11212,light gray,-190,-210,0,0,0,0
18863,light gray,-140,-230,0,0,0,0
18860,black,-110,-230,0,0,0,0
15625,blue,-50,-160,0,0,0,0
11290,blue,20,-160,0,0,0,0
18860,black,50,-230,0,0,0,0
18860,light gray,70,-230,0,0,0,0
18860,light gray,-150,-210,0,0,0,0
18860,black,-130,-210,0,0,0,0
13731,blue,-110,-140,0,0,0,0
13731,blue,50,-140,0,0,0,0
18860,black,70,-210,0,0,0,0
18860,black,-150,-190,0,0,0,0
13731,blue,-130,-120,0,0,0,0
13731,blue,70,-120,0,0,0,0
18860,black,90,-190,0,0,0,0
18870,light gray,150,-190,0,0,0,0
18863,light gray,-200,-170,0,0,0,0
18860,black,-170,-170,0,0,0,0
13731,blue,-150,-100,0,0,0,0
13731,blue,90,-100,0,0,0,0
18860,black,110,-170,0,0,0,0
11153,light gray,160,-170,0,0,0,0
11212,light gray,-290,-130,0,0,0,0
16424,light gray,-240,-140,0,0,0,0
18860,light gray,-210,-150,0,0,0,0
18860,black,-190,-150,0,0,0,0
13731,blue,-170,-80,0,0,0,0
13731,blue,110,-80,0,0,0,0
18860,black,130,-150,0,0,0,0
18870,light gray,190,-150,0,0,0,0
10199,light gray,280,-80,0,0,0,0
18860,black,-210,-130,0,0,0,0
13731,blue,-190,-60,0,0,0,0
13731,blue,130,-60,0,0,0,0
18860,black,150,-130,0,0,0,0
11153,light gray,200,-130,0,0,0,0
18860,light gray,-250,-110,0,0,0,0
18860,black,-230,-110,0,0,0,0
1927,blue,-210,-80,0,0,0,0
1927,blue,150,-80,0,0,0,0
18860,black,170,-110,0,0,0,0
18759,light gray,210,-110,0,0,0,0
13731,light gray,-310,-20,0,0,0,0
18863,light gray,-280,-90,0,0,0,0
18860,black,-250,-90,0,0,0,0
1927,blue,-230,-60,0,0,0,0
1927,blue,170,-60,0,0,0,0
18860,black,190,-90,0,0,0,0
18863,light gray,220,-90,0,0,0,0
18860,light gray,-290,-70,0,0,0,0
18860,black,-270,-70,0,0,0,0
14222,blue,-250,-50,0,0,0,0
15625,blue,-50,0,0,0,0,0
11290,blue,20,0,0,0,0,0
1927,blue,190,-40,0,0,0,0
15561,black,210,-60,0,0,0,0
15561,light gray,230,-60,0,0,0,0
1927,black,-290,-20,0,0,0,0
15561,blue,-270,-40,0,0,0,0
13731,blue,-110,20,0,0,0,0
1927,blue,50,-20,0,0,0,0
15561,blue,-210,-20,0,0,0,0
1927,blue,-130,0,0,0,0,0
1927,blue,70,0,0,0,0,0
14222,blue,150,-10,0,0,0,0
15561,blue,210,-20,0,0,0,0
15561,black,230,-20,0,0,0,0
14222,green,-270,10,0,0,0,0
18863,black,-240,-10,0,0,0,0
1927,blue,-150,20,0,0,0,0
14222,blue,90,10,0,0,0,0
18860,blue,170,-10,0,0,0,0
18860,yellow,-250,10,0,0,0,0
1927,green,-230,40,0,0,0,0
15561,black,-210,20,0,0,0,0
14222,blue,-170,30,0,0,0,0
18860,blue,110,10,0,0,0,0
18860,black,170,10,0,0,0,0
13731,green,190,80,0,0,0,0
14222,black,210,30,0,0,0,0
11212,light gray,250,30,0,0,0,0
18980,light gray,300,60,0,0,0,0
18860,black,-290,30,0,0,0,0
15561,green,-250,40,0,0,0,0
18860,blue,-190,30,0,0,0,0
14222,blue,50,50,0,0,0,0
18860,black,110,30,0,0,0,0
16424,green,140,40,0,0,0,0
18860,green,170,30,0,0,0,0
13731,light gray,-290,120,0,0,0,0
18860,black,-270,50,0,0,0,0
14222,green,-210,70,0,0,0,0
18860,black,-190,50,0,0,0,0
14222,blue,-130,70,0,0,0,0
18860,blue,70,50,0,0,0,0
18860,black,90,50,0,0,0,0
14222,green,110,70,0,0,0,0
13731,tan,170,120,0,0,0,0
13731,light gray,-310,140,0,0,0,0
13731,light gray,-270,140,0,0,0,0
18860,black,-250,70,0,0,0,0
14222,green,-190,90,0,0,0,0
18860,black,-170,70,0,0,0,0
18860,blue,-150,70,0,0,0,0
18860,black,70,70,0,0,0,0
14222,green,90,90,0,0,0,0
18860,green,130,70,0,0,0,0
13731,tan,150,140,0,0,0,0
13731,green,210,140,0,0,0,0
18860,black,230,70,0,0,0,0
18863,light gray,260,70,0,0,0,0
13731,light gray,-250,160,0,0,0,0
18860,black,-230,90,0,0,0,0
14222,green,-170,110,0,0,0,0
18860,black,-150,90,0,0,0,0
11212,blue,-70,110,0,0,0,0
11344,blue,-20,110,0,0,0,0
18863,blue,20,90,0,0,0,0
18860,black,50,90,0,0,0,0
14222,green,70,110,0,0,0,0
13731,tan,130,160,0,0,0,0
1927,green,230,120,0,0,0,0
18860,black,250,90,0,0,0,0
18860,light gray,270,90,0,0,0,0
13731,light gray,-230,180,0,0,0,0
18860,black,-210,110,0,0,0,0
14222,green,-150,130,0,0,0,0
18860,black,-130,110,0,0,0,0
18860,blue,-110,110,0,0,0,0
18860,blue,10,110,0,0,0,0
18860,black,30,110,0,0,0,0
14222,green,50,130,0,0,0,0
13731,tan,110,180,0,0,0,0
1927,green,250,140,0,0,0,0
18860,black,270,110,0,0,0,0
13731,light gray,-210,200,0,0,0,0
18860,black,-190,130,0,0,0,0
14222,green,-130,150,0,0,0,0
18860,black,-110,130,0,0,0,0
18860,black,10,130,0,0,0,0
14222,green,30,150,0,0,0,0
13731,tan,90,200,0,0,0,0
15561,green,270,140,0,0,0,0
15561,black,290,140,0,0,0,0
13731,light gray,310,200,0,0,0,0
13731,light gray,-190,220,0,0,0,0
18860,black,-170,150,0,0,0,0
14222,green,-110,170,0,0,0,0
18860,black,-90,150,0,0,0,0
18759,blue,-50,150,0,0,0,0
18860,black,-10,150,0,0,0,0
14222,green,10,170,0,0,0,0
13731,tan,70,220,0,0,0,0
13731,light gray,-170,240,0,0,0,0
18860,black,-150,170,0,0,0,0
14222,green,-90,190,0,0,0,0
18759,black,-50,170,0,0,0,0
14222,green,-10,190,0,0,0,0
1927,tan,50,200,0,0,0,0
1927,green,190,200,0,0,0,0
15561,green,230,180,0,0,0,0
18860,black,270,170,0,0,0,0
13731,light gray,290,240,0,0,0,0
1927,light gray,-150,220,0,0,0,0
18860,black,-130,190,0,0,0,0
11212,green,-50,210,0,0,0,0
1927,tan,30,220,0,0,0,0
18860,black,250,190,0,0,0,0
1927,light gray,270,220,0,0,0,0
1927,light gray,-290,240,0,0,0,0
1927,light gray,-130,240,0,0,0,0
18860,black,-110,210,0,0,0,0
1927,tan,10,240,0,0,0,0
15561,tan,170,220,0,0,0,0
18860,black,230,210,0,0,0,0
1927,light gray,250,240,0,0,0,0
1927,light gray,-310,260,0,0,0,0
1927,light gray,-270,260,0,0,0,0
1927,light gray,-110,260,0,0,0,0
18860,black,-90,230,0,0,0,0
1927,tan,-10,260,0,0,0,0
15561,tan,150,240,0,0,0,0
18860,black,210,230,0,0,0,0
1927,light gray,230,260,0,0,0,0
1927,light gray,-250,280,0,0,0,0
1927,light gray,-90,280,0,0,0,0
18860,black,-70,250,0,0,0,0
18863,green,-40,250,0,0,0,0
14222,tan,50,270,0,0,0,0
14222,tan,130,270,0,0,0,0
18860,green,170,250,0,0,0,0
18860,black,190,250,0,0,0,0
1927,light gray,210,280,0,0,0,0
14222,light gray,-230,290,0,0,0,0
14222,light gray,-150,290,0,0,0,0
14222,light gray,-70,290,0,0,0,0
18860,black,-50,270,0,0,0,0
18860,green,-30,270,0,0,0,0
15561,tan,30,280,0,0,0,0
15561,tan,110,280,0,0,0,0
18860,green,150,270,0,0,0,0
18860,black,170,270,0,0,0,0
14222,light gray,190,290,0,0,0,0
14222,light gray,270,290,0,0,0,0
15561,light gray,-290,300,0,0,0,0
15561,light gray,-210,300,0,0,0,0
15561,light gray,-130,300,0,0,0,0
15561,light gray,-50,300,0,0,0,0
18860,black,-30,290,0,0,0,0
18860,tan,10,290,0,0,0,0
18860,tan,90,290,0,0,0,0
18860,black,150,290,0,0,0,0
15561,light gray,170,300,0,0,0,0
15561,light gray,250,300,0,0,0,0
15561,light gray,310,300,0,0,0,0
18860,light gray,-310,310,0,0,0,0
18860,light gray,-270,310,0,0,0,0
18860,light gray,-190,310,0,0,0,0
18860,light gray,-110,310,0,0,0,0
18860,light gray,-30,310,0,0,0,0
18870,black,30,310,0,0,0,0
18759,black,110,310,0,0,0,0
18860,light gray,150,310,0,0,0,0
18860,light gray,230,310,0,0,0,0
