part_query,color,x,y,z,rx,ry,rz
18860,red,-310,-310,0,0,0,0
18860,white,-290,-310,0,0,0,0
18860,red,-270,-310,0,0,0,0
18860,white,-250,-310,0,0,0,0
18860,red,-230,-310,0,0,0,0
18860,white,-210,-310,0,0,0,0
18860,red,-190,-310,0,0,0,0
18860,white,-170,-310,0,0,0,0
18860,red,-150,-310,0,0,0,0
18860,white,-130,-310,0,0,0,0
18860,red,-110,-310,0,0,0,0
18860,white,-90,-310,0,0,0,0
18860,red,-70,-310,0,0,0,0
18860,white,-50,-310,0,0,0,0
18860,red,-30,-310,0,0,0,0
18860,white,-10,-310,0,0,0,0
18860,red,10,-310,0,0,0,0
18860,white,30,-310,0,0,0,0
18860,red,50,-310,0,0,0,0
18860,white,70,-310,0,0,0,0
18860,red,90,-310,0,0,0,0
18860,white,110,-310,0,0,0,0
18860,red,130,-310,0,0,0,0
18860,white,150,-310,0,0,0,0
18860,red,170,-310,0,0,0,0
18860,white,190,-310,0,0,0,0
18860,red,210,-310,0,0,0,0
18860,white,230,-310,0,0,0,0
18860,red,250,-310,0,0,0,0
18860,white,270,-310,0,0,0,0
18860,red,290,-310,0,0,0,0
18860,white,310,-310,0,0,0,0
18860,white,-310,-290,0,0,0,0
18860,red,-290,-290,0,0,0,0
18860,white,-270,-290,0,0,0,0
18860,red,-250,-290,0,0,0,0
18860,white,-230,-290,0,0,0,0
18860,red,-210,-290,0,0,0,0
18860,white,-190,-290,0,0,0,0
18860,red,-170,-290,0,0,0,0
18860,white,-150,-290,0,0,0,0
18860,red,-130,-290,0,0,0,0
18860,white,-110,-290,0,0,0,0
18860,red,-90,-290,0,0,0,0
18860,white,-70,-290,0,0,0,0
18860,red,-50,-290,0,0,0,0
18860,white,-30,-290,0,0,0,0
18860,red,-10,-290,0,0,0,0
18860,white,10,-290,0,0,0,0
18860,red,30,-290,0,0,0,0
18860,white,50,-290,0,0,0,0
18860,red,70,-290,0,0,0,0
18860,white,90,-290,0,0,0,0
18860,red,110,-290,0,0,0,0
18860,white,130,-290,0,0,0,0
18860,red,150,-290,0,0,0,0
18860,white,170,-290,0,0,0,0
18860,red,190,-290,0,0,0,0
18860,white,210,-290,0,0,0,0
18860,red,230,-290,0,0,0,0
18860,white,250,-290,0,0,0,0
18860,red,270,-290,0,0,0,0
18860,white,290,-290,0,0,0,0
18860,red,310,-290,0,0,0,0
18860,red,-310,-270,0,0,0,0
18860,white,-290,-270,0,0,0,0
18860,red,-270,-270,0,0,0,0
18860,white,-250,-270,0,0,0,0
18860,red,-230,-270,0,0,0,0
18860,white,-210,-270,0,0,0,0
18860,red,-190,-270,0,0,0,0
18860,white,-170,-270,0,0,0,0
18860,red,-150,-270,0,0,0,0
18860,white,-130,-270,0,0,0,0
18860,red,-110,-270,0,0,0,0
18860,white,-90,-270,0,0,0,0
18860,red,-70,-270,0,0,0,0
18860,white,-50,-270,0,0,0,0
