part_query,color,x,y,z,rx,ry,rz
18646,white,-130,-100,0,0,0,0
11212,white,-70,-130,0,0,0,0
11212,white,-10,-130,0,0,0,0
11212,white,50,-130,0,0,0,0
15588,white,120,-120,0,0,0,0
18863,white,-80,-90,0,0,0,0
18870,blue,-10,-90,0,0,0,0
18863,white,60,-90,0,0,0,0
18860,white,-90,-70,0,0,0,0
18860,blue,-70,-70,0,0,0,0
18870,light gray,-10,-70,0,0,0,0
18863,blue,60,-70,0,0,0,0
11153,white,120,-70,0,0,0,0
1927,blue,-90,-20,0,0,0,0
18870,light gray,-30,-50,0,0,0,0
18863,light gray,40,-50,0,0,0,0
1927,blue,70,-20,0,0,0,0
18860,blue,90,-50,0,0,0,0
16424,white,120,-40,0,0,0,0
14222,white,150,-30,0,0,0,0
18863,white,-140,-30,0,0,0,0
1927,blue,-110,0,0,0,0,0
13269,blue,-20,0,0,0,0,0
1927,blue,50,0,0,0,0,0
18860,white,90,-30,0,0,0,0
18860,white,-150,-10,0,0,0,0
1927,blue,-130,20,0,0,0,0
11344,blue,100,10,0,0,0,0
18860,white,130,-10,0,0,0,0
1927,blue,-150,40,0,0,0,0
17514,blue,140,40,0,0,0,0
18860,blue,-90,30,0,0,0,0
18860,blue,70,30,0,0,0,0
18860,blue,-110,50,0,0,0,0
11212,black,-70,70,0,0,0,0
11153,blue,0,50,0,0,0,0
11212,black,70,70,0,0,0,0
14222,blue,110,70,0,0,0,0
16424,black,-120,80,0,0,0,0
18863,blue,-20,70,0,0,0,0
16424,black,20,80,0,0,0,0
18860,blue,-150,90,0,0,0,0
18863,black,-20,90,0,0,0,0
18863,blue,140,90,0,0,0,0
11212,dark gray,-130,130,0,0,0,0
11212,dark gray,-70,130,0,0,0,0
11212,dark gray,-10,130,0,0,0,0
11212,dark gray,50,130,0,0,0,0
11212,dark gray,110,130,0,0,0,0
14222,dark gray,150,130,0,0,0,0
