part_query,color,x,y,z,rx,ry,rz
15624,white,-240,-240,0,0,0,0
15624,white,-80,-240,0,0,0,0
19001p01,white,80,-200,0,0,0,0
18922,white,240,-160,0,0,0,0
13269,white,-260,-120,0,0,0,0
18870,white,-150,-150,0,0,0,0
18870,white,-50,-150,0,0,0,0
18759,white,-170,-130,0,0,0,0
16424,light gray,-120,-120,0,0,0,0
15561,light gray,-90,-120,0,0,0,0
11153,white,-40,-130,0,0,0,0
18860,white,-190,-110,0,0,0,0
16424,light gray,-160,-100,0,0,0,0
15561,light gray,-70,-100,0,0,0,0
18759,white,-30,-110,0,0,0,0
15561,light gray,-190,-80,0,0,0,0
2156,white,-110,-20,0,0,0,0
15561,light gray,-50,-80,0,0,0,0
18863,white,-20,-90,0,0,0,0
11212,white,-290,-50,0,0,0,0
18863,white,-240,-70,0,0,0,0
15561,light gray,-210,-60,0,0,0,0
11290,white,-160,0,0,0,0,0
13731,white,-70,0,0,0,0,0
15561,light gray,-30,-60,0,0,0,0
18870,white,30,-70,0,0,0,0
18646,white,110,-20,0,0,0,0
13731,white,150,0,0,0,0,0
18860,white,-250,-50,0,0,0,0
15561,light gray,-230,-40,0,0,0,0
13731,white,-190,20,0,0,0,0
13731,white,-50,20,0,0,0,0
15561,light gray,-10,-40,0,0,0,0
11153,white,40,-50,0,0,0,0
14222,light gray,-250,-10,0,0,0,0
1927,white,-210,0,0,0,0,0
13731,white,-30,40,0,0,0,0
15561,light gray,10,-20,0,0,0,0
18759,white,50,-30,0,0,0,0
18863,white,-300,-10,0,0,0,0
14222,light gray,-270,10,0,0,0,0
1927,white,-230,20,0,0,0,0
13731,white,-10,60,0,0,0,0
15561,light gray,30,0,0,0,0,0
18863,white,60,-10,0,0,0,0
18860,white,-310,10,0,0,0,0
15561,light gray,-290,20,0,0,0,0
13731,white,10,80,0,0,0,0
15561,light gray,50,20,0,0,0,0
18860,white,70,10,0,0,0,0
18897,white,220,60,0,0,0,0
11290,white,300,80,0,0,0,0
18860,light gray,-310,30,0,0,0,0
