part_query,color,x,y,z,rx,ry,rz
15624,white,-240,0,-240,0,0,0
15624,white,-80,0,-240,0,0,0
15624,white,80,0,-240,0,0,0
15624,white,240,0,-240,0,0,0
2156,white,-290,0,-80,0,0,0
11212,white,-230,0,-130,0,0,0
18870,white,-150,0,-150,0,0,0
18870,white,-50,0,-150,0,0,0
18870,white,50,0,-150,0,0,0
18870,white,150,0,-150,0,0,0
15625,white,250,0,-80,0,0,0
13731,white,310,0,-80,0,0,0
18870,light gray,-150,0,-130,0,0,0
15624,light gray,-20,0,-60,0,0,0
15625,light gray,110,0,-60,0,0,0
11290,light gray,180,0,-60,0,0,0
18870,light gray,-150,0,-110,0,0,0
11212,tan,-230,0,-70,0,0,0
18759,tan,-170,0,-90,0,0,0
11290,light gray,-120,0,-20,0,0,0
18860,black,-190,0,-70,0,0,0
17514,tan,-160,0,-40,0,0,0
14222,tan,-190,0,-30,0,0,0
15561,tan,-250,0,-20,0,0,0
18863,red,-220,0,-30,0,0,0
18863,tan,-220,0,-10,0,0,0
15625,white,-270,0,80,0,0,0
13731,white,-210,0,80,0,0,0
11212,light gray,-170,0,30,0,0,0
15625,white,250,0,80,0,0,0
13731,white,310,0,80,0,0,0
18870,light gray,-50,0,30,0,0,0
18870,light gray,50,0,30,0,0,0
18870,light gray,150,0,30,0,0,0
18870,light gray,-50,0,50,0,0,0
18870,light gray,50,0,50,0,0,0
18870,light gray,150,0,50,0,0,0
11290,white,-180,0,140,0,0,0
18646,tan,-130,0,120,0,0,0
19001p01,white,-20,0,180,0,0,0
13731,white,70,0,140,0,0,0
18646,tan,110,0,120,0,0,0
2156,white,170,0,140,0,0,0
15625,white,-270,0,240,0,0,0
13731,white,-210,0,240,0,0,0
15625,white,250,0,240,0,0,0
13731,white,310,0,240,0,0,0
18646,white,-130,0,240,0,0,0
18646,white,110,0,240,0,0,0
17514,white,-180,0,260,0,0,0
1927,white,70,0,260,0,0,0
11212,white,170,0,250,0,0,0
16424,white,160,0,300,0,0,0
15561,white,190,0,300,0,0,0
18870,white,-150,0,310,0,0,0
18870,white,-50,0,310,0,0,0
18870,white,50,0,310,0,0,0
18863,white,120,0,310,0,0,0
